"ord","fam","spp","mass.fem","gest.mo","lac.mo","mass.litter","repro.output","dev.birth","diet","arid","biome","N","fat","gest.month","lacat.mo","prot","sugar","energy"
"Primates","Galagidae9","Otolemur garnettii",731,4.4,5,49,0.07,3,"omnivore","no","terrestrial","14",7.3,4.4,5,5.2,6.6,1.23
"Primates","Galagidae9","Otolemur crassicaudatus",935,4.41,4.5,80,0.09,3,"omnivore","no","terrestrial","8",8,4.41,4.5,4.8,6.4,1.26
"Primates","Hominidae","Gorilla beringei beringei",90000,8.5,42,1600,0.02,2,"herbivore","no","terrestrial","7",1.9,8.5,42,1.4,6.8,0.52
"Primates","Lemuridae","Eulemur fulvus",2500,4.02,5,85,0.03,2,"omnivore","no","terrestrial","6",0.9,4.02,5,1.3,8.5,0.49
"Primates","Lemuridae","Eulemur macaco",2250,4.37,5.2,79,0.04,2,"omnivore","no","terrestrial","7",1.1,4.37,5.2,1.5,8.4,0.52
"Primates","Lemuridae","Eulemur rubriventer",2000,4.28,3.3,86,0.04,2,"omnivore","no","terrestrial","3",0.8,4.28,3.3,1.1,8.9,0.49
"Primates","Lemuridae","Eulemur mongoz",1350,4.29,5.1,71,0.05,2,"omnivore","no","terrestrial","4",0.7,4.29,5.1,1.3,7.9,0.45
"Primates","Lemuridae","Varecia variegata",3750,3.34,3.7,205,0.05,2,"herbivore","no","terrestrial","5",3.2,3.34,3.7,4.2,7.7,0.84
"Primates","Lorisidae","Nycticebus coucang",900,6.34,5.8,53,0.06,2,"omnivore","no","terrestrial","4",7,6.34,5.8,3.9,6.6,1.13
"Proboscidea","Elephantidae","Elaphus maximus",2720000,21.12,18,100039,0.04,3,"herbivore","no","terrestrial","3",7.3,21.12,18,4.5,5.2,1.13
"Proboscidea","Elephantidae","Loxodonta africana",2482500,21.46,39.4,100986,0.04,3,"herbivore","yes","terrestrial","6",5,21.46,39.4,4,5.3,0.9
"Rodentia","Bathyergidae","Heterocephalus glaber",80,2.23,1.2,17,0.21,0,"herbivore","yes","terrestrial","3",4.5,2.23,1.2,4.8,5.7,0.92
"Rodentia","Castoridae","Castor fiber",19000,3.51,2.3,1700,0.09,3,"herbivore","no","terrestrial","14",19,3.51,2.3,11.2,1.7,2.45
"Rodentia","Caviidae","Cavia porcellus",728,2.24,0.6,366,0.5,4,"herbivore","no","terrestrial","10",5.7,2.24,0.6,6.3,4.8,1.08
"Rodentia","Caviidae","Kerodon rupestris",950,2.53,1.1,126,0.13,3,"herbivore","yes","terrestrial","6",7.5,2.53,1.1,6.6,5.2,1.28
"Rodentia","Chinchillidae","Chinchilla lanigera",365,3.7,1.8,64,0.18,3,"herbivore","yes","terrestrial","60",11.2,3.7,1.8,7.3,1.7,1.52
"Rodentia","Cricetidae10","Mesocricetus auratus",105,0.54,0.7,20,0.19,0,"omnivore","yes","terrestrial","6",4.9,0.54,0.7,9.4,4.9,1.19
"Rodentia","Echimyidae","Thrichomys apereoides",374,3.1,1.5,66,0.18,4,"herbivore","yes","terrestrial","18-30",22.3,3.1,1.5,11,4.4,2.85
"Rodentia","Muridae","Acomys cahirinus",41,1.23,0.8,14,0.34,3,"herbivore","yes","terrestrial","5",21.2,1.23,0.8,12.3,2.8,2.76
"Rodentia","Muridae","Mus musculus",16,0.69,0.7,8,0.5,0,"omnivore","no","terrestrial","5",27,0.69,0.7,12.5,2.6,3.29
"Rodentia","Muridae","Notomys alexis",31,1.16,1,11,0.35,1,"omnivore","yes","terrestrial","12-Mar",15,1.16,1,5.5,2.6,1.79
"Rodentia","Muridae","Notomys cervinus",40,1.4,1.1,8,0.2,1,"omnivore","yes","terrestrial","7-Mar",10.3,1.4,1.1,5.6,2.3,1.36
"Rodentia","Muridae","Notomys mitchelli",50,1.21,1,13,0.26,1,"omnivore","yes","terrestrial","4-Feb",7.5,1.21,1,6.5,2.7,1.17
"Rodentia","Muridae","Pseudomys australis",65,1.02,0.9,13,0.2,0,"herbivore","yes","terrestrial","7-Jun",12.1,1.02,0.9,6.4,3.6,1.62
"Rodentia","Muridae","Rattus norvegicus",253,0.71,0.8,51,0.2,0,"omnivore","no","terrestrial","18-Mar",8.8,0.71,0.8,8.1,3.8,1.43
"Rodentia","Octodontidae","Octodon degus",235,2.96,1.2,74,0.31,3,"herbivore","yes","terrestrial","7",20.1,2.96,1.2,4.4,2.7,2.2
"Rodentia","Scuiridae","Tamias amoenus",53,0.98,1.5,14,0.26,0,"omnivore","no","terrestrial","11",21.7,0.98,1.5,8.1,4.3,2.62
"Rodentia","Scuiridae","Urocitellus columbianus",406,0.84,1,32,0.08,0,"herbivore","no","terrestrial","26",9.2,0.84,1,10.7,3.4,1.6
"Soricomorpha11","Soricidae","Crocidura russula",14,0.97,0.8,4,0.29,0,"carnivore","no","terrestrial","3",30,0.97,0.8,9.4,3,3.4
